Store Name (EN),Store Name (AR),Reason Not Eligible,Industry,Potential,Potential Score,Website,Emails,Phone Numbers,WhatsApp,Instagram,Twitter/X,TikTok,Snapchat,Categories,Online Presence,On Tabby,On Tamara,Tabby Directory Link,BNPL Services,Website Status,Description
Integrated Learning Training Center,Integrated Learning Training Center,Education / training services; Personal / professional services,Education & Training,High,100,https://iltc.edu.sa,info@iltc.edu.sa,"920015427, 966115103355, 966581831560","+966115103355, +966581831560",https://instagram.com/iltcksa,iltcksa,,,"Personal & Professional Services, Training & Courses",Online store + physical store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/integrated-learning-training-center,"paymentLink, split-in-4",ok,
Athar,Athar,Education / training services; Personal / professional services,Education & Training,High,95,https://athartmd.com,info@athar-dev.edu.sa,"+966507867090, 05552851000, 0559440001",,https://instagram.com/athar_tmd,,,,"Personal & Professional Services, Training & Courses",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/athar-018e1895-4e1f-a842-a13c-dc17b443d35b,split-in-4,ok,The journey and destination.
Tameeni,تأميني,Insurance / financial services,Insurance & Finance,High,95,https://tameeni.com,support@tameeni.com,"0517883301, 05227661132, 05247497558, 05310821533, 05476379394, 05490112304",+9668002444455,https://instagram.com/tameeniksa,tameeniksa,,tameeniksa,"Insurance, التأمين",Online store,Yes,Yes,https://tabby.sa/en-SA/shop/stores/tameeni,split-in-4,ok,
Academy of Sciences,اكاديمية العلوم,Education / training services,Education & Training,High,90,https://aos-ksa.com/en,info@aos-ksa.com,+966553331853,+966553331853,https://instagram.com/aos_ksa_,aos_ksa_,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/academy-of-sciences-ksa-01927641-06b9-4c47-89c3-1bc4bc1104f5,"paymentLink, split-in-4",ok,
Accel International Saudi inc. for Education,أكسيل,Education / training services,Education & Training,High,90,https://accel.sa,info@accel.sa,"05496928565, 966550933396",+966550933396,https://instagram.com/accel.ajyal,accel_ajyal,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/accel-international-saudi-inc-for-education-018deac9-5fd5-d288-0304-e8d381524c2b,"paymentLink, split-in-4",ok,
ADVANCED MEDICINE CENTER,شركة مركز الطب المتقدم,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://amcmed.com,patientcare@amcmed.com,"966112004040, 966557704755","+966112004040, +966557704755",https://instagram.com/amcmed2002,,,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/advanced-medicine-center-0190b097-1f90-5c16-b6a9-3ef1abf4e16b,"paymentLink, split-in-4",ok,
Adventure Pioneers,Adventure Pioneers,Travel & tourism services,Travel & Tourism,High,90,https://adventurespioneers.com,cs@adventurespioneers.com,"+966558381867, 966558381867",,https://instagram.com/rowad.elmoghamara,apioneers95795,adventures.pioneers,,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/adventure-pioneers-0192f628-8366-b78b-9830-729ca99b2898,"paymentLink, split-in-4",ok,
Al-Bsaer Training Center,معهد البصائر للتدريب,Education / training services,Education & Training,High,90,https://albsaer.com,"info@albsaer.com, support@albsaer.com","+966541195704, 00966135873037, 00966541195704, 05391403130, 966135873037, 966541195704","+966135873037, +966541195704",https://instagram.com/albasaer_training,albasaer0,,b100training100,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/al-bsaer-training-center-0189525d-18e3-6041-1f38-8b14ed2e2f77,"paymentLink, split-in-4",ok,A specialized training institute dedicated to enhancing skills and improving competencies across various professional and personal fields. We offer innovative and compreh
Al-Thager Dental Clinics,Al-Thager Dental Clinics,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://al-thager.com,drsamy1977@gmail.com,"05332613814, 966501219335, 966539300686",,https://instagram.com/althagherdental,althagherdental,althagherdental,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/al-thager,"paymentLink, split-in-4",ok,
ALASSALAH TRAVEL &TOURISM,ALASSALAH TRAVEL &TOURISM,Travel & tourism services,Travel & Tourism,High,90,https://alassalahtravel.com,info@alassalahtravel.com,"+966538505592, +966555188716, 0138066669, 966555188617, 966555188716","+966555188617, +966555188716",https://instagram.com/alassalahtravel,alassalahtravel,alassalah.travel,alassalahtravel,Travel,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/alassalah-travel-andtourism-01915510-63f0-fae7-bd85-2f18a3ed249e,"paymentLink, split-in-4",ok,
Alfa Horizon,Alfa Horizon,Education / training services,Education & Training,High,90,https://alfahorizon.org,"fv@q.lo, help.info@alfahorizon.org","+966545558222, 05391403130",+966545558222,https://instagram.com/alfahorizon19,alfahorizon19,,,Training & Courses,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/alfa-horizon-0191fb21-877e-c52e-74d5-2bd8a8d06958,"paymentLink, split-in-4",ok,
Aljawdah Clinics,عيادات الجودة | أسنان - جلدية,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://store.aljawdahclinics.com,info@aljawdahclinic.com,"0584109779, 920004864, 966920004864",+966920004864,https://instagram.com/aljawdahclinics,aljawdahclinics,aljawdahclinics,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/aljawdah-clinics-0189fe4c-b04e-b29a-c4e3-38874c3aaf9b,"paymentLink, split-in-4",ok,"With over 20 years of experience in providing the best dental, dermatology and cosmetic services, we are proud of our distinguished medical staff and global competencies."
Almawj Clinics,Almawj Clinics,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://almawj.net,"admin@fikrajo.com, almawj@almawj.net","00966920009125, 920009125, 966920009125",+966920009125,https://instagram.com/almawjclinics,almawjclinics,al.mawjclinics,,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/almawj-clinics,"paymentLink, split-in-4",ok,
Aloofoq Specialized Center for physiotherapy,مركز الافق التخصصي للعلاج الطبيعي,Healthcare / clinic services,Healthcare Services (Clinics),High,90,https://alofoqspecialist.sa,info@alofoqspecialist.sa,"+966163280005, 0554008812, 966163280005, 966554008812",+966554008812,https://instagram.com/ofoq_q,ofoq_q,ofoq_q,ofoq_q,Clinics,Online store + physical store,Yes,,https://tabby.sa/en-SA/shop/stores/Aloofoq-Specialized-Center-for-physiotherapy-018c9a81-8106-a40b-8c4d-c70894e173af,"paymentLink, split-in-4",ok,"Welcome to Al-Afaaq Specialized Physical Therapy Center. We aim to provide health and medical options to enhance physical and movement health, creating a supportive system for individuals' independenc"
